datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-02-19,B_QG8888,1254.85,32070289270.0,1744906,55365872434.36,,,,Normal,1255.498,-0.005515885909923024,0.017709053477550724,-0.1768357067026532,-0.45816579266306606,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.13333333333333333
2025-02-20,B_QG8888,1268.4,36466259810.0,1687842,54547121960.16,,,,Normal,1258.064,0.010798103358967248,1.3253376670998658,1.331575978939616,1.0836867688923286,,0.8333333333333334,0.5454545454545454,0.2608695652173913,0.2903225806451613
2025-02-21,B_QG8888,1251.73,40009668515.0,1774240,56046649529.89,,,,Normal,1258.7099999999998,-0.01314254178492591,-1.5750732088105528,-0.7942645473074409,-1.0679854057829417,,0.16666666666666666,0.18181818181818182,0.08695652173913043,0.125
2025-02-24,B_QG8888,1249.52,33544295930.0,1790204,56344558645.92,,,,Normal,1257.2620000000002,-0.0017655564698457749,-0.0789498203324326,0.2952174660030209,0.02508367458429949,,0.16666666666666666,0.18181818181818182,0.08695652173913043,0.06060606060606061
2025-02-25,B_QG8888,1227.86,47930871185.0,1919542,58939114548.62,,,,Normal,1250.472,-0.017334656508099178,-1.2214492676501627,-1.0696289845081404,-1.4534204087479978,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.029411764705882353
2025-02-26,B_QG8888,1219.49,43641297080.0,1977057,60015754341.46,-15.66,-6.33,-9.34,Normal,1243.4,-0.006816738064600147,-0.11888937754028413,-0.1013691236501009,-0.2555537087740983,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.02857142857142857
2025-02-27,B_QG8888,1226.6,38937519870.0,1989683,60848948308.75,-17.11,-8.48,-8.63,Shrinking Green Bar,1235.04,0.005830306111571204,1.5220275978604785,0.9426913813496712,1.0598974330904012,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.05555555555555555
2025-02-28,B_QG8888,1235.27,36736983890.0,1959726,60614788135.65,-17.36,-10.26,-7.1,Shrinking Green Bar,1231.748,0.007068318930376627,1.081180072219633,0.9029932588506461,1.106189571367322,,0.6666666666666666,0.36363636363636365,0.17391304347826086,0.10810810810810811
2025-03-03,B_QG8888,1219.62,43573341400.0,2047191,62452588879.11,-18.6,-11.93,-6.68,Shrinking Green Bar,1225.7679999999998,-0.012669294971949574,-0.8072996173121338,-1.0581015741658966,-0.9502472253797568,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.05263157894736842
2025-03-04,B_QG8888,1219.97,40486524650.0,2027803,62508268111.92,-19.34,-13.41,-5.93,Shrinking Green Bar,1224.19,0.0002869746314426713,0.20560853602419682,0.4030118408535554,0.4446339393127059,,0.5,0.2727272727272727,0.13043478260869565,0.07692307692307693
2025-03-05,B_QG8888,1200.77,50294389385.0,2103457,63453161533.03,-21.23,-14.97,-6.25,Green Bar,1220.446,-0.015738091920293185,-1.344183665091882,-1.1731711311369524,-1.1694903177188731,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.025
2025-03-06,B_QG8888,1203.31,37128520625.0,2109326,63834463511.66,-22.26,-16.43,-5.83,Shrinking Green Bar,1215.788,0.00211530934317139,0.667493335799707,0.8480971114191322,0.6499163398964122,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.04878048780487805
2025-03-07,B_QG8888,1189.84,37646294805.0,2166116,64391584583.42,-23.89,-17.92,-5.97,Green Bar,1206.702,-0.011194122877728918,-0.5193206245987834,-0.7274646524095804,-0.7464240452298265,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.023809523809523808
