datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-01-21,B_HG8888,2762.08,400676011800.0,8173989,335089336951.93,,,,Normal,2786.12,-0.0004957571152001128,-0.17568868393445586,-0.5309920321164472,,,0.16666666666666666,0.5454545454545454,0.6666666666666666,0.6666666666666666
2025-01-22,B_HG8888,2778.73,357170580190.0,8063247,334018069287.26,,,,Normal,2786.21,0.006028065805479876,0.5855848143495711,0.05423417742089507,,,0.5,0.7272727272727273,0.8125,0.8125
2025-01-23,B_HG8888,2764.31,382009211235.0,8029625,328968661588.68,,,,Normal,2775.328,-0.005189421066458477,-0.18523423512019369,-0.9532534346813564,,,0.5,0.5454545454545454,0.7058823529411765,0.7058823529411765
2025-01-24,B_HG8888,2790.17,364264382355.0,7721288,317224587948.36,,,,Normal,2771.748,0.009354956571441031,1.1905674149896652,0.6308165292302466,,,0.8333333333333334,0.7272727272727273,0.8333333333333334,0.8333333333333334
2025-01-27,B_HG8888,2810.57,256904599295.0,7317975,301595324296.85,,,,Normal,2781.172,0.007311382460567062,0.7219555542437996,0.48029453127037364,,,0.8333333333333334,0.8181818181818182,0.8947368421052632,0.8947368421052632
2025-02-05,B_HG8888,2775.04,257787615335.0,7608610,309298907540.3,,,,Normal,2783.764,-0.012641563810899648,-1.6059769663362453,-1.388509933312881,,,0.3333333333333333,0.36363636363636365,0.65,0.65
2025-02-06,B_HG8888,2761.55,346254176320.0,8113892,329149251329.74,,,,Normal,2780.328,-0.0048611911900368066,-0.44072169758311164,-0.46282596506471496,,,0.16666666666666666,0.09090909090909091,0.47619047619047616,0.47619047619047616
2025-02-07,B_HG8888,2775.23,388051724670.0,8182568,333929066263.78,,,,Normal,2782.512,0.004953739747605379,0.4968229701257889,0.7993251564908428,,,0.5,0.5454545454545454,0.6818181818181818,0.6818181818181818
2025-02-10,B_HG8888,2788.37,354929027620.0,8400356,343139278350.67,,,,Normal,2782.152,0.00473474270600982,0.6418026559259232,0.6539721095384464,,,0.6666666666666666,0.7272727272727273,0.782608695652174,0.782608695652174
2025-02-11,B_HG8888,2728.18,447498191815.0,8275706,334034322218.43,,,,Normal,2765.674,-0.021586087929507225,-1.5349729967188324,-2.1622631896896456,-2.0363243091208134,,0.16666666666666666,0.09090909090909091,0.34782608695652173,0.375
2025-02-12,B_HG8888,2742.51,386381593635.0,8317551,341706376416.65,,,,Normal,2759.168,0.005252585973066326,0.7284482915378051,0.6156147640840591,0.3533961663171405,,0.3333333333333333,0.18181818181818182,0.391304347826087,0.44
2025-02-13,B_HG8888,2676.68,457812452650.0,8319603,335341370174.91,,,,Normal,2742.1940000000004,-0.02400355878374205,-1.3114130965661617,-1.7610376855866225,-2.2312069718158205,,0.16666666666666666,0.09090909090909091,0.17391304347826086,0.23076923076923078
2025-02-14,B_HG8888,2705.18,381663362445.0,8271272,338342536200.39,,,,Normal,2728.184,0.010647518567777903,1.0635917091288714,1.035699667448608,0.8511044088694111,,0.3333333333333333,0.18181818181818182,0.21739130434782608,0.3333333333333333
2025-02-17,B_HG8888,2711.82,434355767960.0,8391201,341297468313.58,,,,Normal,2712.874,0.0024545501593240537,0.5476723750999809,0.4425032362755014,0.09149191433087907,,0.5,0.2727272727272727,0.21739130434782608,0.35714285714285715
2025-02-18,B_HG8888,2717.59,327971554180.0,8497958,346248052123.51,,,,Normal,2710.756,0.0021277223414533086,0.2351485438786764,0.47251781470419973,0.09865699070591602,,0.6666666666666666,0.36363636363636365,0.21739130434782608,0.3793103448275862
2025-02-19,B_HG8888,2705.19,342764017660.0,8483886,344925595526.33,,,,Normal,2703.292,-0.004562866363211571,-0.16190680374727312,-0.18792943464819944,-0.4520032117111713,,0.5,0.2727272727272727,0.13043478260869565,0.3333333333333333
2025-02-20,B_HG8888,2723.52,339026201120.0,8607184,354865264888.65,,,,Normal,2712.66,0.006775864172202217,0.6451814233547309,0.7128820536907831,0.6536208403933824,,0.8333333333333334,0.5454545454545454,0.2608695652173913,0.41935483870967744
2025-02-21,B_HG8888,2709.51,384039595270.0,8632018,353482722192.94,,,,Normal,2713.5260000000003,-0.005144078251674178,-1.2049646793021123,-0.2511700246174171,-0.4483108240669424,,0.3333333333333333,0.36363636363636365,0.17391304347826086,0.34375
2025-02-24,B_HG8888,2713.61,299223504260.0,8736451,357304344474.39,,,,Normal,2713.8840000000005,0.0015131887315418258,0.3067530782133155,0.3773360325509006,0.254505087448828,,0.5,0.5454545454545454,0.2608695652173913,0.3939393939393939
2025-02-25,B_HG8888,2685.36,337688865695.0,8771799,353551367633.28,,,,Normal,2707.4380000000006,-0.01041048640003539,-1.356417050222896,-0.9314413024734653,-0.8665008486516476,,0.16666666666666666,0.18181818181818182,0.08695652173913043,0.20588235294117646
2025-02-26,B_HG8888,2667.86,379879648995.0,9027385,359831594643.32,-5.19,8.18,-13.37,Normal,2699.972,-0.006516817112044548,-0.6140296767289501,-0.40725699646286423,-0.4429796854545981,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.17142857142857143
2025-02-27,B_HG8888,2697.23,345249565425.0,9116153,363237054621.54,-6.19,5.31,-11.49,Shrinking Green Bar,2694.714,0.011008823551460711,1.7185121280717854,1.4671057469137416,1.2745690982044018,,0.5,0.2727272727272727,0.17391304347826086,0.2777777777777778
2025-02-28,B_HG8888,2723.11,350704467620.0,9086860,364853343601.76,-4.83,3.28,-8.11,Shrinking Green Bar,2697.434,0.00959502897416975,1.0070514703142328,1.3061151275346818,1.0483030086422773,,0.8333333333333334,0.8181818181818182,0.4782608695652174,0.4864864864864865
